term_desc,Year,Emplid,academic_organization_desc,subject,Catalog_Nbr,course_id,class_nbr,ssr_component,Primary_Component_Ind,Enrollment_Capacity,Total_Over_Capacity,Instruction_Mode_Desc,Instructor_Role
Fall,2019,10133317,Dept of Computer Science,CPSC,313,107194,71198,TUT,N,25,0.92,In Person,TA
Fall,2017,10063313,Department of Geoscience,GLGY,541,122304,75072,LAB,N,16,0.3125,In Person,PI
Summer,2018,4053308,Dept of Biological Sciences,BIOL,305,103208,50677,LEC,Y,100,0.64,In Person,AL
Spring,2020,0,Dept of Biological Sciences,BIOL,241,161654,31374,LAB,N,24,0.5,Web-Based Instruction,
Spring,2021,0,Dept of Math & Stats,MATH,265,162782,30227,LAB,N,60,0.983333333,Web-Based Instruction,
Winter,2020,30011427,Dept of Computer Science,CPSC,471,107234,20499,TUT,N,28,0.5,In Person,TA
Fall,2018,0,Dept of Biological Sciences,MRSC,515,128812,70769,LEC,Y,3,1,In Person,
Fall,2021,0,Dept of Math & Stats,STAT,205,162564,71729,TUT,N,30,0.866666667,Web-Based Instruction,
Winter,2018,4205936,Dept of Computer Science,SENG,300,163551,15670,LEC,Y,150,0.846666667,In Person,PI
Fall,2020,10181606,Dept of Math & Stats,MATH,431,163994,73663,LEC,Y,30,0.8,Web-Based Instruction,PI
Winter,2018,4104785,Department of Geoscience,GLGY,703,122407,17144,LAB,Y,1,1,In Person,PI
Winter,2020,30029860,Dept of Computer Science,CPSC,217,160416,24308,TUT,N,25,1,In Person,TA
Fall,2018,4110900,Dept of Biological Sciences,CMMB,519,105590,72061,LEC,Y,24,0.625,In Person,AL
Fall,2018,4024449,Department of Geoscience,GLGY,201,122140,70656,LAB,N,18,0.944444444,In Person,AL
Fall,2021,0,Dept of Physics & Astronomy,PHYS,221,132696,71336,LAB,N,9,0.777777778,Web-Based Instruction,
Winter,2022,0,Dept of Chemistry,CHEM,353,104833,10203,TUT,N,32,0.875,Web-Based Instruction,
Winter,2021,10187343,Dept of Math & Stats,STAT,205,162564,11800,LEC,Y,60,1,Web-Based Instruction,PI
Fall,2018,0,Dept of Computer Science,CPSC,594A,107303,71133,LAB,N,30,0.6,In Person,
Fall,2019,4241864,Dept of Biological Sciences,BIOL,530A,163277,74767,LAB,Y,10,0.6,Senior Project,PI
Winter,2019,4024449,Department of Geoscience,SCIE,507,160815,16347,LEC,Y,24,0.208333333,In Person,AL
Winter,2019,4062091,Dept of Math & Stats,MATH,502,163998,15729,LEC,Y,30,0.366666667,In Person,PI
Fall,2017,0,Dept of Chemistry,CHEM,201,104793,71283,LAB,N,20,0.95,In Person,
Winter,2018,0,Dept of Chemistry,CHEM,315,104819,10228,LAB,N,20,1.1,In Person,
Winter,2021,0,Dept of Chemistry,CHEM,357,104837,10218,TUT,N,39,0.435897436,Web-Based Instruction,
Fall,2017,4044906,Dept of Computer Science,CPSC,355,161194,71414,LEC,Y,125,0.984,In Person,PI
Fall,2020,959240,Dept of Biological Sciences,CMMB,443,105376,70258,LEC,Y,36,1.027777778,Web-Based Instruction,AL
Fall,2018,961922,Dept of Biological Sciences,CMMB,528A,150499,76870,LAB,Y,1,1,Independent Study,PI
Fall,2018,0,Dept of Physics & Astronomy,PHYS,211,132690,70829,LAB,N,15,1,In Person,
Fall,2018,10054838,Dept of Chemistry,CHEM,311,104817,70304,LAB,N,22,1,In Person,TA
Winter,2022,4069678,Faculty of Science,SCIE,311,136324,10761,LEC,Y,30,1,In Person,PI
Winter,2018,4043977,Dept of Biological Sciences,BCEM,393,102715,10150,LAB,N,22,1,In Person,PI
Fall,2018,10120225,Dept of Computer Science,CPSC,231,107164,72038,TUT,N,24,1,In Person,TA
Winter,2022,307265,Dept of Physics & Astronomy,PHYS,223,132698,10511,LEC,Y,256,0.98828125,In Person,PI
Winter,2021,0,Dept of Chemistry,CHEM,471,104887,12186,LAB,N,10,1,In Person,
Fall,2018,212039,Dept of Computer Science,CPSC,231,107164,70414,LEC,Y,162,0.99382716,In Person,PI
Fall,2021,0,Dept of Biological Sciences,BCEM,443,102725,73380,TUT,N,18,0.833333333,Web-Based Instruction,
Winter,2022,4037768,Faculty of Science,SCIE,502B,136328,16635,LAB,Y,1,1,Independent Research,PI
Winter,2022,4107195,Department of Geoscience,GLGY,701,122398,16967,LAB,Y,1,1,Web-Based Instruction,PI
Fall,2019,0,Dept of Computer Science,CPSC,502.01A,161040,71081,LAB,N,15,0.666666667,In Person,
Fall,2019,0,Dept of Chemistry,CHEM,201,104793,71129,LAB,N,20,0.95,In Person,
Winter,2021,0,Dept of Math & Stats,MATH,211,125983,10502,LAB,N,40,0.975,Web-Based Instruction,
Winter,2021,0,Dept of Computer Science,CPSC,502.06B,160861,10912,LAB,N,5,0.4,Web-Based Instruction,
Fall,2020,10037215,Dept of Computer Science,CPSC,449,161195,71842,LEC,Y,135,1,Web-Based Instruction,PI
Winter,2021,0,Dept of Biological Sciences,BCEM,393,102715,10116,LAB,N,20,0.95,Web-Based Instruction,
Fall,2018,10182227,Department of Geoscience,GLGY,403,162985,75957,LAB,N,14,0.785714286,In Person,PI
Fall,2018,10099049,Dept of Computer Science,CPSC,231,107164,76536,TUT,N,30,1,In Person,TA
Winter,2021,4032066,Department of Geoscience,GLGY,510B,150233,16585,LAB,Y,1,1,Web-Based Instruction,PI
Fall,2017,10141189,Dept of Chemistry,CHEM,203,104794,71316,LAB,N,20,1,In Person,TA
Fall,2017,30051515,Dept of Computer Science,CPSC,233,107165,70355,TUT,N,25,1,In Person,TA
Winter,2018,10181315,Dept of Biological Sciences,ZOOL,507,150488,16564,LAB,Y,1,1,Independent Study,PI
Fall,2020,0,Dept of Math & Stats,MATH,265,162782,72133,LAB,N,60,0.983333333,Web-Based Instruction,
Fall,2018,0,Dept of Computer Science,CPSC,503.04,162557,72422,LAB,N,5,0.2,In Person,
Fall,2021,10188907,Dept of Computer Science,DATA,601,164197,73732,LEC,Y,60,0.266666667,Web-Based Instruction,PI
Winter,2019,0,Dept of Biological Sciences,BIOL,243,161577,11787,LAB,N,24,0.958333333,In Person,
Fall,2020,955180,Department of Geoscience,GOPH,453,122655,70504,LEC,Y,32,0.5,Web-Based Instruction,PI
Winter,2018,4022881,Faculty of Science,ENSC,502B,117776,11183,LEC,Y,45,0.844444444,In Person,PI
Summer,2018,30005949,Dept of Math & Stats,ACSC,327,100090,50171,LEC,Y,40,0.6,In Person,PI
Winter,2021,4061858,Dept of Biological Sciences,ECOL,507,150094,15727,LAB,Y,1,3,In Person,PI
Fall,2021,0,Dept of Computer Science,CPSC,418,161676,76175,TUT,N,25,0.96,In Person,
Winter,2019,955180,Department of Geoscience,GOPH,565,161648,13696,LEC,Y,16,0.8125,In Person,PI
Fall,2021,0,Dept of Physics & Astronomy,PHYS,221,132696,71302,LAB,N,9,0.888888889,Web-Based Instruction,
Winter,2022,0,Dept of Physics & Astronomy,PHYS,223,132698,10526,LAB,N,24,1,In Person,
Winter,2018,4115774,Dept of Math & Stats,MATH,693.03,163097,15531,LEC,Y,30,0.333333333,In Person,PI
Winter,2020,0,Dept of Physics & Astronomy,PHYS,259,132717,19226,LAB,N,24,0.958333333,In Person,
Fall,2020,0,Dept of Chemistry,CHEM,201,104793,70980,LAB,N,20,1,Web-Based Instruction,
Winter,2020,0,Dept of Physics & Astronomy,PHYS,223,132698,19175,LAB,N,24,1,In Person,
Fall,2019,10177299,Department of Geoscience,GLGY,571,122308,71926,LEC,Y,28,0.928571429,In Person,PI
Winter,2018,30018480,Dept of Chemistry,CHEM,209,104797,13075,TUT,N,40,0.9,In Person,TA
Spring,2021,0,Dept of Computer Science,CPSC,331,107198,30622,TUT,N,24,0.958333333,Web-Based Instruction,
Winter,2022,0,Dept of Chemistry,CHEM,203,104794,10915,LAB,N,20,0.95,In Person,
Fall,2019,10173900,Dept of Math & Stats,MATH,211,125983,70938,LAB,N,40,1,In Person,TA
Winter,2018,4049799,Dept of Computer Science,CPSC,411,107215,10338,LEC,Y,50,0.74,In Person,PI
Fall,2021,10160679,Dept of Computer Science,CPSC,433,107224,73068,TUT,N,28,0.321428571,In Person,TA
Fall,2019,961922,Dept of Biological Sciences,CMMB,528A,150499,76698,LAB,Y,1,1,Independent Study,AL
Winter,2021,4012525,Dept of Biological Sciences,BIOL,451,103241,12111,LEC,Y,108,1,Web-Based Instruction,AL
Fall,2018,4067737,Dept of Biological Sciences,ZOOL,528A,150521,76875,LAB,Y,1,1,Independent Study,PI
Winter,2022,10170055,Dept of Computer Science,DATA,605,164231,14186,LEC,Y,55,0.890909091,Web-Based Instruction,PI
Winter,2020,0,Dept of Chemistry,CHEM,201,104793,19870,TUT,N,100,0.57,In Person,
Summer,2022,0,Dept of Biological Sciences,MRSC,502,150312,1767,LEC,Y,1,1,In Person,
Fall,2021,0,Dept of Biological Sciences,PLBI,421,162803,72983,LAB,N,24,0.958333333,In Person,
Winter,2022,4237935,Dept of Biological Sciences,CMMB,530B,106018,16596,LAB,Y,1,1,Senior Project,PI
Summer,2022,0,Dept of Computer Science,CPSC,251,164537,1542,TUT,N,25,0.68,In Person,
Winter,2018,4043977,Dept of Biological Sciences,BCEM,393,102715,10162,LAB,N,20,1,In Person,PI
Fall,2018,10054553,Dept of Chemistry,NANS,301,161067,71394,LEC,Y,90,0.9,In Person,AL
