term_desc,Year,Emplid,academic_organization_desc,subject,Catalog_Nbr,course_id,class_nbr,ssr_component,Primary_Component_Ind,Enrollment_Capacity,Total_Over_Capacity,Instruction_Mode_Desc,Instructor_Role
Summer,2019,30047601,Dept of Math & Stats,MATH,267,162783,50197,LAB,N,40,0.675,In Person,PI
Fall,2021,4121658,Department of Geoscience,GLGY,377,122176,70447,LAB,N,16,0.625,In Person,PI
Fall,2018,4131185,Dept of Biological Sciences,BCEM,530A,103091,76252,LAB,Y,18,0.888888889,In Person,AL
Winter,2020,4165042,Dept of Computer Science,CPSC,599,150074,24374,LEC,Y,25,0.4,In Person,PI
Winter,2019,0,Dept of Physics & Astronomy,PHYS,259,132717,10784,LAB,N,24,0.75,In Person,
Fall,2019,10000839,Dept of Math & Stats,MATH,211,125983,70919,LEC,Y,230,0.97826087,In Person,PI
Winter,2021,4204011,Dept of Computer Science,CPSC,329,161618,11260,LEC,Y,150,1,Web-Based Instruction,PI
Winter,2019,10096414,Dept of Computer Science,CPSC,601,150075,15890,LEC,Y,8,0.25,In Person,PI
Spring,2022,10185829,Dept of Math & Stats,MATH,653,163189,2091,LEC,Y,30,0.266666667,Web-Based Instruction,PI
Winter,2018,4043977,Dept of Biological Sciences,BCEM,341,102708,10146,LEC,Y,120,0.975,In Person,AL
Fall,2021,0,Dept of Biological Sciences,BIOL,311,103211,70124,LAB,N,24,1,Web-Based Instruction,
Fall,2019,0,Dept of Biological Sciences,BIOL,241,161654,71680,LAB,N,24,1,In Person,
Winter,2020,10056548,Dept of Computer Science,CPSC,457,107231,20897,TUT,N,28,1,In Person,TA
Fall,2019,0,Dept of Physics & Astronomy,PHYS,221,132696,71599,LAB,N,9,1,In Person,
Fall,2019,10180622,Dept of Physics & Astronomy,PHYS,365,162994,72788,LEC,Y,336,0.967261905,In Person,PI
Fall,2017,0,Dept of Biological Sciences,BIOL,241,161654,71955,LAB,N,24,0.916666667,In Person,
Winter,2020,959240,Dept of Biological Sciences,CMMB,528B,150053,25115,LAB,Y,1,1,Independent Study,PI
Fall,2017,30050507,Dept of Math & Stats,STAT,213,139100,71077,TUT,N,85,0.988235294,In Person,PI
Winter,2020,4077196,Dept of Physics & Astronomy,PHYS,691.14,162751,25144,SEM,Y,4,0.25,In Person,PI
Winter,2019,4092924,Department of Geoscience,GLGY,510B,150233,16223,LAB,Y,1,1,Independent Study,PI
Fall,2021,10029569,Department of Geoscience,GLGY,431,162975,72278,LEC,Y,24,0.75,Blended Learning,PI
Winter,2022,10029394,Dept of Math & Stats,MATH,516,164002,13580,LEC,Y,40,0.9,In Person,PI
Fall,2021,0,Dept of Computer Science,CPSC,457,107231,75929,TUT,N,24,0.958333333,Web-Based Instruction,
Winter,2021,0,Dept of Computer Science,CPSC,233,107165,10259,TUT,N,24,0.916666667,Web-Based Instruction,
Fall,2017,4060445,Dept of Chemistry,CHEM,351,104832,77266,LAB,N,20,0.95,In Person,PI
Winter,2021,0,Dept of Chemistry,CHEM,203,104794,10991,LAB,N,20,1,Web-Based Instruction,
Fall,2018,0,Dept of Biological Sciences,BIOL,241,161654,71791,LAB,N,24,1,In Person,
Fall,2017,30050507,Dept of Math & Stats,MATH,211,125983,71025,LAB,N,42,1,In Person,PI
Spring,2021,0,Dept of Math & Stats,MATH,249,125996,30357,LAB,N,45,0.888888889,Web-Based Instruction,
Winter,2022,0,Dept of Chemistry,CHEM,353,104833,10198,TUT,N,32,0.6875,Web-Based Instruction,
Fall,2018,10183730,Dept of Computer Science,CPSC,231,107164,70413,LEC,Y,135,0.97037037,In Person,PI
Winter,2019,30073622,Dept of Math & Stats,MATH,249,125996,10076,LAB,N,65,1,In Person,TA
Fall,2019,4012137,Dept of Biological Sciences,CMMB,530A,106019,74768,LAB,Y,30,0.5,Senior Project,AL
Winter,2019,10057005,Dept of Physics & Astronomy,MDPH,639,126601,11447,LEC,Y,7,0.428571429,In Person,PI
Winter,2018,0,Dept of Physics & Astronomy,MDPH,633,126599,11126,LAB,N,11,0.363636364,In Person,
Winter,2022,4207063,Dept of Math & Stats,STAT,721,139234,15744,LEC,Y,30,0.766666667,In Person,PI
Fall,2020,30072561,Dept of Computer Science,SENG,511,136350,72000,LAB,N,32,1.21875,Web-Based Instruction,TA
Winter,2021,0,Dept of Physics & Astronomy,PHYS,223,132698,11141,LAB,N,24,0.958333333,Web-Based Instruction,
Fall,2018,10001705,Dept of Biological Sciences,BIOL,530A,163277,76253,LAB,Y,15,0.4,In Person,AL
Fall,2021,4167239,Dept of Biological Sciences,BCEM,530A,103091,76222,LAB,Y,1,1,Senior Project,PI
Fall,2017,0,Dept of Physics & Astronomy,PHYS,227,160444,77055,LAB,N,20,0.45,In Person,
Fall,2021,10188925,Dept of Math & Stats,MATH,211,125983,76190,LEC,Y,100,0.86,Blended Learning,PI
Winter,2019,289476,Department of Geoscience,GLGY,202,162255,12042,LAB,N,16,0.875,In Person,PI
Winter,2021,0,Dept of Biological Sciences,BIOL,315,103215,12848,LAB,N,25,1,Web-Based Instruction,
Winter,2021,10187343,Dept of Math & Stats,STAT,205,162564,11801,LEC,Y,60,0.95,Web-Based Instruction,PI
Fall,2020,946786,Faculty of Science,NEUR,474,163962,74397,LEC,Y,20,0.8,Web-Based Instruction,PI
Spring,2020,954691,Faculty of Science,ENSC,504A,160757,31460,LAB,Y,1,1,In Person,PI
Fall,2020,4012152,Dept of Biological Sciences,BCEM,530A,103091,76323,LAB,Y,1,9,In Person,PI
Fall,2018,0,Dept of Biological Sciences,BIOL,311,103211,70269,LAB,N,25,0.88,In Person,
Fall,2018,0,Dept of Physics & Astronomy,PHYS,221,132696,71744,LAB,N,9,1,In Person,
Fall,2017,10029541,Faculty of Science,NEUR,500A,161165,73157,LAB,Y,30,0.7,Blended Learning,PI
Fall,2019,0,Dept of Physics & Astronomy,PHYS,211,132690,71590,LAB,N,15,1,In Person,
Fall,2020,4022881,Faculty of Science,ENSC,505,150163,77184,LAB,Y,1,1,Web-Based Instruction,PI
Fall,2021,10182227,Department of Geoscience,GLGY,403,162985,73093,LAB,N,14,0.928571429,In Person,PI
Winter,2020,0,Dept of Chemistry,CHEM,209,104797,20927,LAB,N,20,1,In Person,
Winter,2018,10030708,Dept of Biological Sciences,PLBI,543,162808,13387,LEC,Y,24,0.291666667,In Person,PI
Winter,2019,30069461,Dept of Computer Science,CPSC,233,107165,11953,TUT,N,24,1,In Person,TA
Fall,2021,0,Dept of Chemistry,CHEM,203,104794,70907,LAB,N,20,1,Web-Based Instruction,
Fall,2021,0,Dept of Computer Science,DATA,201,163972,73014,LAB,N,32,1,In Person,
Fall,2017,10000379,Dept of Biological Sciences,BCEM,530A,103091,76775,LAB,Y,15,0.6,In Person,AL
Fall,2017,30044442,Dept of Computer Science,CPSC,331,107198,72158,TUT,N,25,1,In Person,TA
Winter,2018,10113043,Dept of Physics & Astronomy,MDPH,711B,160820,12423,LAB,Y,5,0.2,In Person,PI
Winter,2021,4052594,Dept of Math & Stats,MATH,277,162785,11998,LEC,Y,230,0.908695652,Web-Based Instruction,PI
Fall,2017,10126380,Dept of Math & Stats,STAT,213,139100,70083,LAB,N,30,0.933333333,In Person,PI
Winter,2018,4065122,Dept of Math & Stats,STAT,323,161983,12067,LEC,Y,116,0.862068966,In Person,PI
Fall,2018,0,Dept of Biological Sciences,BCEM,641,150033,76892,LEC,Y,1,1,Independent Study,
Spring,2019,4211772,Dept of Biological Sciences,BCEM,528A,150494,31443,LAB,Y,1,1,Independent Study,PI
Fall,2017,0,Dept of Biological Sciences,BCEM,443,102725,70179,LAB,N,18,0.277777778,In Person,
Winter,2021,0,Dept of Chemistry,CHEM,201,104793,10956,LAB,N,20,1,Web-Based Instruction,
Winter,2022,10050512,Department of Geoscience,GOPH,551,122676,13544,LAB,N,14,0.642857143,In Person,PI
Winter,2021,10071603,Dept of Physics & Astronomy,PHYS,443,132759,10609,LEC,Y,55,0.672727273,Web-Based Instruction,PI
Spring,2021,0,Dept of Chemistry,CHEM,201,104793,30109,LAB,N,25,0.76,Web-Based Instruction,
Winter,2022,0,Dept of Biological Sciences,BIOL,451,103241,11912,TUT,N,18,1,In Person,
Fall,2017,30048319,Dept of Math & Stats,MATH,265,162782,72948,LAB,N,60,0.883333333,In Person,PI
Winter,2019,10005672,Dept of Biological Sciences,CMMB,507,150052,16462,LAB,Y,1,1,Independent Study,AL
Winter,2018,30024875,Dept of Math & Stats,MATH,249,125996,11460,TUT,N,80,1,In Person,PI
Fall,2021,0,Dept of Math & Stats,MATH,311,126009,70031,TUT,N,60,0.933333333,In Person,
Winter,2020,4204011,Dept of Computer Science,CPSC,601,150075,24915,LEC,Y,2,1,Independent Study,PI
Winter,2019,0,Dept of Chemistry,CHEM,201,104793,11230,LAB,N,20,0.95,In Person,
Fall,2019,0,Dept of Biological Sciences,BIOL,241,161654,71674,LAB,N,24,1,In Person,
Fall,2020,0,Dept of Chemistry,CHEM,351,104832,70184,LAB,N,20,1,Web-Based Instruction,
Fall,2019,30094229,Dept of Computer Science,CPSC,331,107198,72060,TUT,N,29,0.896551724,In Person,TA
Winter,2018,10000907,Department of Geoscience,GLGY,333,162794,12978,LAB,N,16,0.8125,In Person,PI
Fall,2018,0,Dept of Chemistry,CHEM,373,104846,70367,LAB,N,16,1,In Person,
Summer,2022,10191032,Dept of Physics & Astronomy,PHYS,259,132717,1232,LEC,Y,24,0.666666667,In Person,PI
Winter,2018,10177100,Dept of Physics & Astronomy,MDPH,722B,160823,11540,LAB,Y,3,0.333333333,In Person,PI
Spring,2018,30025850,Dept of Math & Stats,MATH,249,125996,30721,TUT,N,40,0.275,In Person,PI
Winter,2019,0,Dept of Physics & Astronomy,PHYS,223,132698,10742,LAB,N,24,1,In Person,
Fall,2019,0,Dept of Chemistry,CHEM,209,104797,70250,TUT,N,40,0.775,In Person,
Fall,2021,0,Dept of Biological Sciences,ECOL,429,108947,70310,LAB,N,18,0.944444444,In Person,
Fall,2021,0,Dept of Computer Science,CPSC,329,161618,73401,TUT,N,25,1,Blended Learning,
Winter,2020,0,Dept of Chemistry,CHEM,357,104837,18795,TUT,N,40,0.875,In Person,
Winter,2018,4121658,Department of Geoscience,GLGY,510B,150233,16772,LAB,Y,1,1,Independent Study,PI
Winter,2020,0,Dept of Chemistry,CHEM,201,104793,19616,LAB,N,20,0.95,In Person,
Winter,2020,10028494,Department of Geoscience,GLGY,701,122398,25023,LAB,Y,5,1,Independent Study,PI
Winter,2021,0,Dept of Biological Sciences,BIOL,243,161577,11429,LAB,N,24,0.916666667,Web-Based Instruction,
Fall,2019,10055846,Dept of Math & Stats,MATH,211,125983,70934,LAB,N,46,1,In Person,TA
Spring,2021,0,Dept of Math & Stats,MATH,211,125983,30082,LAB,N,61,0.93442623,Web-Based Instruction,
Fall,2017,30025850,Dept of Math & Stats,MATH,265,162782,72935,LAB,N,60,0.933333333,In Person,PI
Fall,2017,0,Dept of Physics & Astronomy,PHYS,211,132690,71878,LAB,N,15,1,In Person,
Winter,2021,0,Dept of Biological Sciences,BCEM,393,102715,10122,LAB,N,20,1,Web-Based Instruction,
Spring,2018,4124335,Dept of Chemistry,CHEM,425,104871,31222,LEC,Y,75,0.253333333,In Person,PI
Summer,2018,10167991,Department of Geoscience,GLGY,337,122167,50281,LAB,Y,16,1,Field School,PI
Summer,2020,0,Dept of Math & Stats,MATH,267,162783,50136,LAB,N,62,0.790322581,Web-Based Instruction,
Fall,2018,0,Dept of Chemistry,CHEM,351,104832,71282,TUT,N,34,0.882352941,In Person,
Fall,2019,0,Dept of Chemistry,CHEM,351,104832,70289,LAB,N,20,1,In Person,
Winter,2019,10180600,Department of Geoscience,GOPH,703,122728,10620,LAB,Y,1,1,Independent Study,PI
Fall,2021,0,Dept of Physics & Astronomy,PHYS,365,162994,72216,LAB,N,24,1,In Person,
Fall,2020,10183730,Dept of Computer Science,CPSC,231,107164,70269,LEC,Y,135,0.962962963,Web-Based Instruction,PI
Fall,2018,0,Dept of Biological Sciences,BIOL,241,161654,71814,LAB,N,24,1,In Person,
Fall,2018,10081333,Faculty of Science,SCIE,311,136324,70887,TUT,N,15,1,In Person,TA
Spring,2021,10186022,Dept of Math & Stats,STAT,213,139100,30062,LEC,Y,240,0.7875,Web-Based Instruction,PI
Fall,2018,10109460,Faculty of Science,NEUR,500A,161165,72775,LAB,Y,30,0.533333333,Independent Study,PI
Winter,2021,10010176,Dept of Computer Science,CPSC,251,164537,15730,LEC,Y,120,1.016666667,Web-Based Instruction,PI
Winter,2021,0,Dept of Computer Science,CPSC,251,164537,15738,TUT,N,30,1,Web-Based Instruction,
Fall,2020,4187102,Dept of Computer Science,SENG,511,136350,70763,LAB,N,31,0.774193548,Web-Based Instruction,PI
Fall,2020,30044760,Dept of Computer Science,CPSC,331,107198,70282,TUT,N,30,1,Web-Based Instruction,TA
Fall,2019,30067980,Dept of Math & Stats,STAT,213,139100,70104,LAB,N,30,1,In Person,PI
Fall,2019,10180600,Department of Geoscience,GOPH,671,161306,73944,LEC,Y,15,0.8,In Person,PI
Fall,2019,0,Dept of Chemistry,CHEM,203,104794,71400,TUT,N,103,0.786407767,In Person,
Winter,2018,0,Dept of Physics & Astronomy,PHYS,259,132717,13039,LAB,N,24,0.958333333,In Person,
Fall,2018,10183119,Dept of Math & Stats,MATH,275,162784,72634,LEC,Y,230,0.939130435,In Person,PI
Winter,2019,337385,Bach of Health Sciences Office,BIOL,515,103454,10235,LEC,Y,20,0.9,In Person,PI
Winter,2018,4187001,Dept of Computer Science,CPSC,503.07,162560,12610,LEC,Y,5,0.6,In Person,PI
Winter,2022,0,Dept of Chemistry,CHEM,209,104797,10853,LAB,N,20,0.95,In Person,
Winter,2021,0,Dept of Chemistry,CHEM,353,104833,10209,TUT,N,40,0.775,Web-Based Instruction,
Winter,2020,0,Dept of Chemistry,CHEM,201,104793,19600,LAB,N,20,1,In Person,
Winter,2021,10000907,Department of Geoscience,GLGY,333,162794,12045,LEC,Y,36,0.833333333,Web-Based Instruction,PI
Winter,2018,4091325,Faculty of Science,ENSC,503,117778,10538,LEC,Y,45,0.822222222,In Person,PI
Fall,2018,4238070,Department of Geoscience,GLGY,401,122185,70675,LEC,Y,80,0.95,In Person,PI
Winter,2019,4012525,Dept of Biological Sciences,ECOL,528B,150095,16301,LAB,Y,1,1,Independent Study,AL
Winter,2019,30048319,Dept of Math & Stats,MATH,205,125980,10067,LAB,N,50,0.96,In Person,TA
Winter,2022,0,Dept of Biological Sciences,CMMB,343,105369,10233,LAB,N,22,1,In Person,
Fall,2017,30024875,Dept of Math & Stats,MATH,249,125996,70046,TUT,N,95,0.989473684,In Person,PI
Winter,2018,10075697,Dept of Computer Science,CPSC,565,107290,14984,LEC,Y,25,0.52,In Person,PI
Fall,2020,4238070,Department of Geoscience,GLGY,401,122185,72552,LAB,N,14,1,Blended Learning,PI
Winter,2020,0,Dept of Chemistry,CHEM,201,104793,19614,LAB,N,20,1,In Person,
Winter,2019,4012525,Dept of Biological Sciences,BIOL,313,103213,10209,LEC,Y,360,1,In Person,AL
Winter,2022,0,Dept of Computer Science,CPSC,351,164538,15728,TUT,N,25,1,In Person,
Fall,2019,338710,University of Calgary - Qatar,STAT,205,162564,76496,LEC,Y,47,0.957446809,In Person,PI
Summer,2020,0,Dept of Physics & Astronomy,PHYS,223,132698,50222,LAB,N,24,0.75,Web-Based Instruction,
Winter,2018,4032066,Department of Geoscience,GLGY,433,162976,13507,LEC,Y,64,0.8125,In Person,PI
Winter,2022,4238070,Department of Geoscience,GLGY,611,161309,15602,LAB,N,15,0.733333333,In Person,PI
Winter,2019,0,Dept of Biological Sciences,BIOL,451,103241,12711,TUT,N,18,0.833333333,In Person,
Winter,2021,30126083,Dept of Math & Stats,MATH,267,162783,11985,LEC,Y,398,0.994974874,Web-Based Instruction,TA
Fall,2017,10001705,Dept of Biological Sciences,CMMB,528A,150499,77347,LAB,Y,1,1,Independent Study,AL
Winter,2018,10098700,Dept of Computer Science,CPSC,411,107215,12464,TUT,N,25,0.76,In Person,TA
Fall,2018,10063313,Department of Geoscience,GLGY,541,122304,73795,LAB,N,14,1.214285714,In Person,PI
Winter,2018,0,Dept of Physics & Astronomy,PHYS,325,132732,12428,LAB,N,18,0.888888889,In Person,
Fall,2021,10158108,Dept of Computer Science,CPSC,594A,107303,70806,LEC,Y,30,0.633333333,Web-Based Instruction,PI
Spring,2018,0,Dept of Math & Stats,MATH,249,125996,30062,TUT,N,40,0.875,In Person,PI
Fall,2020,0,Dept of Chemistry,CHEM,201,104793,70964,LAB,N,20,0.95,Web-Based Instruction,
Fall,2021,0,Dept of Chemistry,CHEM,373,104846,76109,LAB,N,20,1,Web-Based Instruction,
Fall,2018,0,Dept of Biological Sciences,BIOL,241,161654,71804,LAB,N,24,1,In Person,
Winter,2019,0,Dept of Biological Sciences,CMMB,451,105377,11297,LAB,N,14,0.785714286,In Person,
Spring,2022,0,Dept of Computer Science,CPSC,449,161195,2047,TUT,N,27,0.851851852,In Person,
Fall,2018,4230559,Dept of Math & Stats,MATH,265,162782,72604,LEC,Y,240,0.995833333,In Person,PI
Fall,2017,4254205,Department of Geoscience,GLGY,510A,150511,77322,LAB,Y,1,1,Independent Study,PI
Winter,2019,0,Dept of Chemistry,CHEM,357,104837,10298,TUT,N,40,0.975,In Person,
Winter,2019,30047601,Dept of Math & Stats,MATH,211,125983,11028,LAB,N,40,1,In Person,TA
Fall,2018,10069538,Dept of Physics & Astronomy,MDPH,637,126600,71970,LEC,Y,10,0.4,In Person,PI
Fall,2020,0,Dept of Math & Stats,STAT,213,139100,70080,LAB,N,30,1,Web-Based Instruction,
Winter,2018,0,Dept of Physics & Astronomy,PHYS,223,132698,10726,LAB,N,24,0.708333333,In Person,
Winter,2019,0,Dept of Math & Stats,STAT,213,139100,10151,LAB,N,30,1,In Person,
Spring,2020,30048351,Dept of Computer Science,CPSC,331,107198,30875,TUT,N,28,1,Web-Based Instruction,TA
Fall,2018,0,Dept of Chemistry,CHEM,331,104824,70310,LAB,N,22,1,In Person,
Winter,2020,4044752,Department of Geoscience,GLGY,483,162986,21185,LEC,Y,28,0.714285714,In Person,PI
Fall,2020,30048351,Dept of Computer Science,CPSC,331,107198,73526,TUT,N,30,0.933333333,Web-Based Instruction,TA
Fall,2018,4052594,Dept of Math & Stats,MATH,413,163991,75908,LEC,Y,75,0.973333333,In Person,PI
Fall,2020,0,Dept of Physics & Astronomy,PHYS,211,132690,71332,LAB,N,16,0.9375,Web-Based Instruction,
Fall,2019,4060445,Dept of Chemistry,CHEM,559,104927,70333,LEC,Y,60,1,In Person,PI
Spring,2022,0,Dept of Computer Science,CPSC,449,161195,2049,TUT,N,24,0.958333333,In Person,
Fall,2019,4121658,Department of Geoscience,GLGY,377,122176,70597,LEC,Y,42,0.642857143,In Person,PI
Winter,2018,0,Dept of Biological Sciences,BIOL,205,103188,16399,LEC,Y,35,0.114285714,In Person,
Winter,2019,30037107,Dept of Computer Science,CPSC,457,107231,12658,TUT,N,28,1,In Person,TA
Fall,2019,30047514,Dept of Computer Science,CPSC,355,161194,73031,TUT,N,25,1,In Person,TA
Winter,2022,4024449,Department of Geoscience,GOPH,419,163534,12623,LEC,Y,28,0.178571429,In Person,PI
Winter,2021,4273423,Bach of Health Sciences Office,BIOL,503,103247,10156,LEC,Y,6,0.5,In Person,PI
Fall,2019,30025275,Dept of Math & Stats,MATH,265,162782,72390,LAB,N,60,0.983333333,In Person,TA
Fall,2020,0,Dept of Math & Stats,MATH,211,125983,70790,LAB,N,60,0.966666667,Web-Based Instruction,
Fall,2020,10182397,Department of Geoscience,GLGY,445,162977,76378,LAB,N,16,1,Web-Based Instruction,PI
Spring,2019,10167991,Department of Geoscience,GLGY,201,122140,31168,LAB,N,18,0.722222222,In Person,PI
Spring,2018,30028092,Dept of Computer Science,CPSC,471,107234,30742,TUT,N,23,0.782608696,In Person,TA
Fall,2017,30042885,Dept of Computer Science,CPSC,217,160416,72234,TUT,N,25,0.96,In Person,TA
Spring,2020,4024449,Department of Geoscience,GLGY,699,150234,31306,LEC,Y,3,0.666666667,Independent Study,PI
Fall,2019,0,Dept of Chemistry,CHEM,201,104793,71382,TUT,N,63,0.920634921,In Person,
Fall,2021,10001705,Dept of Biological Sciences,CMMB,528A,150499,76975,LAB,Y,1,1,Senior Project,PI
Winter,2019,10169377,Faculty of Science,NEUR,507,161166,16747,LAB,Y,1,1,Independent Study,PI
Fall,2017,10075843,Dept of Computer Science,CPSC,583,161196,76032,TUT,N,25,1,In Person,TA
Fall,2017,10000839,Dept of Math & Stats,MATH,367,162786,73391,LEC,Y,120,0.875,In Person,PI
Winter,2022,2001700,Dept of Computer Science,CPSC,502.03B,160858,10841,LEC,Y,5,0.2,In Person,PI
Winter,2018,30051515,Dept of Computer Science,CPSC,219,160417,12164,TUT,N,24,0.875,In Person,TA
Spring,2018,30047542,Dept of Math & Stats,STAT,213,139100,30328,LAB,N,30,0.933333333,In Person,PI
Winter,2019,10127819,Dept of Computer Science,DATA,201,163972,15335,LAB,N,30,1,In Person,TA
Fall,2020,10009980,Dept of Math & Stats,MATH,661.03,163082,76662,LEC,Y,30,0.266666667,Web-Based Instruction,PI
Winter,2018,4238070,Department of Geoscience,GLGY,510B,150233,16862,LAB,Y,2,1,Independent Study,PI
Winter,2022,985073,Dept of Physics & Astronomy,PHYS,691.22,161413,13732,SEM,Y,15,0.2,Web-Based Instruction,PI
Fall,2017,4155961,Dept of Biological Sciences,CMMB,530A,106019,76777,LAB,Y,18,1,In Person,AL
Fall,2017,0,Dept of Biological Sciences,ZOOL,998A,150522,76759,LEC,Y,35,0.028571429,In Person,
Fall,2021,0,Dept of Physics & Astronomy,PHYS,323,132729,76008,LAB,N,24,0.916666667,In Person,
Winter,2018,0,Dept of Biological Sciences,ZOOL,401,163529,15734,LAB,N,20,0.85,In Person,
Spring,2018,30004319,Dept of Math & Stats,STAT,217,139102,30082,LAB,N,32,0.9375,In Person,PI
Winter,2018,10177566,Dept of Physics & Astronomy,PHYS,259,132717,10750,LEC,Y,200,0.995,In Person,PI
Fall,2021,985073,Dept of Physics & Astronomy,PHYS,691.11,161409,71063,SEM,Y,30,0.8,Web-Based Instruction,PI
Fall,2018,10063313,Department of Geoscience,GLGY,201,122140,70648,LAB,N,18,1,In Person,PI
Winter,2020,955180,Department of Geoscience,GOPH,509,150238,25455,LAB,Y,1,1,Independent Study,PI
Winter,2019,0,Dept of Math & Stats,STAT,213,139100,10111,LAB,N,30,0.966666667,In Person,
Winter,2021,237906,Dept of Chemistry,CHEM,599,160606,16896,LEC,Y,30,0.4,Web-Based Instruction,PI
Fall,2021,0,Dept of Math & Stats,MATH,211,125983,76853,LAB,N,100,0.78,In Person,
Winter,2019,955615,Dept of Computer Science,CPSC,699B,107681,11096,LEC,Y,50,0.54,In Person,PI
Fall,2018,0,Dept of Chemistry,CHEM,351,104832,71527,LAB,N,20,1,In Person,
Fall,2018,4179965,Dept of Chemistry,CHEM,331,104824,70309,LEC,Y,132,1,In Person,PI
Winter,2022,0,Dept of Chemistry,CHEM,209,104797,15648,LAB,N,20,0.8,In Person,
Fall,2019,10028751,Department of Geoscience,GLGY,313,162793,72481,LAB,N,14,0.928571429,In Person,PI
Fall,2019,328189,Dept of Biological Sciences,BIOL,311,103211,70212,LEC,Y,258,0.965116279,In Person,AL
Spring,2020,0,Dept of Math & Stats,MATH,211,125983,30482,LAB,N,67,0.985074627,Web-Based Instruction,
Fall,2021,10001705,Dept of Biological Sciences,CMMB,528A,150499,76977,LAB,Y,1,1,Senior Project,PI
Fall,2018,0,Dept of Chemistry,CHEM,351,104832,70322,LAB,N,20,0.95,In Person,
Winter,2020,0,Dept of Biological Sciences,CMMB,343,105369,18820,LAB,N,20,1,In Person,
Fall,2018,507772,Dept of Computer Science,CPSC,630,161627,74663,LEC,Y,12,0.666666667,In Person,PI
Winter,2022,0,Dept of Computer Science,CPSC,217,160416,13450,TUT,N,25,1,In Person,
Fall,2021,4042389,Dept of Math & Stats,MATH,211,125983,76192,LEC,Y,100,0.51,Blended Learning,PI
Winter,2021,0,Dept of Math & Stats,MATH,311,126009,10031,TUT,N,50,1,Web-Based Instruction,
Winter,2019,4044906,Dept of Computer Science,CPSC,501,107248,15405,LEC,Y,96,0.979166667,In Person,PI
Fall,2021,10028751,Department of Geoscience,GLGY,615,164108,73228,LAB,N,11,0.909090909,Blended Learning,PI
Fall,2019,10180622,Dept of Physics & Astronomy,PHYS,211,132690,70728,LEC,Y,230,0.882608696,In Person,SI
Winter,2021,0,Dept of Physics & Astronomy,PHYS,223,132698,11142,LAB,N,24,0.625,Web-Based Instruction,
Fall,2020,0,Dept of Math & Stats,STAT,213,139100,70053,LAB,N,30,0.966666667,Web-Based Instruction,
Winter,2022,0,Dept of Chemistry,CHEM,353,104833,10191,LAB,N,20,0.75,In Person,
Fall,2017,4069678,Department of Geoscience,GLGY,577,122310,74177,LAB,N,16,0.9375,In Person,PI
Fall,2017,0,Dept of Chemistry,CHEM,351,104832,76844,LAB,N,16,0.9375,In Person,
Winter,2022,4062058,Dept of Math & Stats,ACSC,327,100090,10087,LEC,Y,64,0.828125,Blended Learning,PI
Fall,2017,0,Dept of Chemistry,CHEM,351,104832,70261,LAB,N,20,0.95,In Person,
Fall,2018,0,Dept of Math & Stats,STAT,217,139102,70176,LAB,N,30,1,In Person,
Fall,2021,4074526,Dept of Biological Sciences,BIOL,607,150034,76905,LEC,N,1,1,Independent Study,PI
Winter,2021,0,Dept of Chemistry,CHEM,203,104794,15766,LAB,N,20,0.75,Web-Based Instruction,
Winter,2022,254022,Dept of Computer Science,CPSC,601,150075,16186,LEC,Y,20,0.7,Web-Based Instruction,PI
Spring,2019,10168812,Dept of Biological Sciences,BIOL,311,103211,30033,LEC,Y,48,0.895833333,In Person,PI
Winter,2022,0,Dept of Chemistry,CHEM,203,104794,15606,LAB,N,20,1,In Person,
Winter,2019,10001705,Dept of Biological Sciences,CMMB,528B,150053,16233,LAB,Y,1,1,Independent Study,AL
Winter,2021,0,Dept of Chemistry,CHEM,353,104833,10213,TUT,N,40,0.65,Web-Based Instruction,
Fall,2019,4238070,Department of Geoscience,GLGY,601,122334,72871,LAB,N,2,0.5,In Person,PI
Winter,2022,328189,Department of Geoscience,GLGY,202,162255,15487,LAB,N,21,0.714285714,In Person,PI
Winter,2018,10102758,Dept of Biological Sciences,ZOOL,581,163531,15740,LEC,Y,75,0.386666667,In Person,PI
Winter,2022,10191135,Dept of Math & Stats,MATH,277,162785,15815,LEC,Y,100,0.73,In Person,PI
Fall,2020,0,Dept of Chemistry,CHEM,351,104832,70215,TUT,N,40,0.775,Web-Based Instruction,
Summer,2019,0,Dept of Computer Science,CPSC,217,160416,50962,TUT,N,30,0.666666667,In Person,
Fall,2019,0,Dept of Chemistry,CHEM,351,104832,70281,LAB,N,20,1,In Person,
Winter,2020,0,Dept of Chemistry,CHEM,353,104833,20980,LAB,N,20,0.25,In Person,
Fall,2019,10009982,Dept of Math & Stats,STAT,701,139229,75947,LEC,Y,25,0.68,In Person,PI
Winter,2020,0,Dept of Computer Science,CPSC,594B,107302,19503,LAB,N,30,0.633333333,In Person,
Fall,2020,4211772,Dept of Chemistry,NANS,301,161067,71121,LEC,Y,90,0.333333333,Web-Based Instruction,AL
Fall,2020,0,Dept of Biological Sciences,BIOL,241,161654,71495,LAB,N,24,1,Web-Based Instruction,
Spring,2021,0,Dept of Biological Sciences,BIOL,311,103211,30033,LAB,N,24,1,Web-Based Instruction,
Winter,2019,4121658,Department of Geoscience,GLGY,699,150234,16523,LEC,Y,2,0.5,Independent Study,PI
Winter,2018,4076818,Dept of Physics & Astronomy,PHYS,598B,132819,11204,LAB,Y,30,0.466666667,Directed Research,PI
