collectionDate,dataType,compressed,uncompressed
2014-12-05,reporter,465476,7595464
2014-12-05,smtp,105758608,751088506
2014-12-05,snmp,5617228,21105368
2014-12-05,socks,6957,13011
2014-12-05,software,98067485,1116674559
2014-12-05,ssh,74095823,360021329
2014-12-05,ssl,2927213324,10969866727
2014-12-05,syslog,9345078,190423634
2014-12-05,traceroute,346747,1886395
2014-12-05,tunnel,16131854,61460793
2014-12-05,weird,421556760,1670054324
2014-12-05,x509,1535188401,12583142514
2014-12-06,app_stats,6811,11065
2014-12-06,capture_loss,55702,152201
2014-12-06,communication,12277588,62308499
2014-12-06,conn,12969367570,37718219785
2014-12-06,conn-summary,64851,298756
2014-12-06,dnp3,309,550
2014-12-06,dns,2655740703,20183036879
2014-12-06,dpd,11552587,50987296
2014-12-06,files,5299959029,15496302670
2014-12-06,ftp,827547,5810548
2014-12-06,http,9811072747,33795008435
2014-12-06,irc,296331,2712421
2014-12-06,known_certs,78600,492764
2014-12-06,known_hosts,310623,1113717
2014-12-06,known_services,1200377,5409551
2014-12-06,modbus,1903914,22584402
2014-12-06,notice,3493094,24495011
2014-12-06,radius,86635,490826
2014-12-06,reporter,369813,6072181
2014-12-06,smtp,13115039,72123251
2014-12-06,snmp,6049161,21603931
2014-12-06,socks,4132,7624
2014-12-06,software,34911420,383273061
2014-12-06,ssh,98597436,495534213
2014-12-06,ssl,1462840972,5696179195
2014-12-06,syslog,8881246,186588566
2014-12-06,traceroute,304695,1621202
2014-12-06,tunnel,11034705,43322644
2014-12-06,weird,260816091,1041066339
2014-12-06,x509,723958265,6451189760
2014-12-07,app_stats,6805,11018
2014-12-07,capture_loss,56300,153020
2014-12-07,communication,12213455,61666055
2014-12-07,conn,13113585176,37844383192
2014-12-07,conn-summary,66260,299958
2014-12-07,dns,2769940227,21278141515
2014-12-07,dpd,12916737,58118386
2014-12-07,files,5554298887,16223057494
2014-12-07,ftp,1090995,7622611
2014-12-07,http,10032643103,34477273878
2014-12-07,irc,307145,2815286
2014-12-07,known_certs,65590,389909
2014-12-07,known_hosts,310696,1108547
2014-12-07,known_services,1139054,5124696
2014-12-07,modbus,2014879,24189865
2014-12-07,notice,3343373,23103685
2014-12-07,radius,88155,480199
2014-12-07,reporter,439154,7258952
2014-12-07,smtp,11232494,57588932
2014-12-07,snmp,4646145,16868075
2014-12-07,socks,5169,9435
2014-12-07,software,35107755,385140386
2014-12-07,ssh,101256221,493101286
2014-12-07,ssl,1569444360,6094782597
2014-12-07,syslog,8470538,179672037
